Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.420289,0.3245382585751979,-26.737555,79.24862549475714,79.24862549475714,9935.835,0.27486044,0.00039742995,1.0
1000,1.4256281,0.3342245989304813,9.002219,187.70955403645834,187.70955403645834,102962.32,0.21114185,0.00039357497,1.0
1500,1.4329773,0.3333333333333333,35.64184,187.70955403645834,187.70955403645834,67888.82,0.3041567,0.00038841498,1.0
2000,1.4397154,0.3333333333333333,61.988457,187.70955403645834,187.70955403645834,43913.953,0.15975922,0.00038325498,1.0
2500,1.4437499,0.3342245989304813,85.71391,187.70955403645834,187.70955403645834,24748.117,0.2072424,0.000378095,1.0
3000,1.4485589,0.8550185873605948,184.96638,518.8959845648872,518.8959845648872,72180.27,0.16889295,0.000372935,1.0
3500,1.4535381,1.0,309.68256,613.9446105957031,613.9446105957031,61510.42,0.24330981,0.00036778,1.0
4000,1.4589623,0.43804034582132567,338.94214,256.4967677751261,256.4967677751261,48459.715,0.9388519,0.000362625,1.0
4500,1.4608581,0.3333333333333333,263.26312,187.70955403645834,187.70955403645834,32307.078,0.1903815,0.00035747502,1.0
5000,1.4613758,0.3342245989304813,209.63145,187.70955403645834,187.70955403645834,12981.175,0.3118741,0.00035231502,1.0
5500,1.4621661,0.3333333333333333,180.9747,187.70955403645834,187.70955403645834,6759.9067,0.17479095,0.000347155,1.0
6000,1.4626154,0.4005602240896359,170.1051,203.9085149684874,203.9085149684874,3937.5547,0.25167906,0.000341995,1.0
6500,1.4631225,1.253393665158371,265.48505,461.6382086126654,461.6382086126654,15405.437,0.28171265,0.00033683502,1.0
7000,1.4640824,1.7624309392265194,352.22992,694.9107234385791,694.9107234385791,131395.0,0.15340887,0.000331685,1.0
7500,1.4644539,1.8426966292134832,385.80927,602.4816849703169,602.4816849703169,265799.1,0.1416724,0.000326515,1.0
8000,1.4648689,2.2337662337662336,380.18723,785.8380250619127,785.8380250619127,133567.95,0.22253704,0.000321345,1.0
8500,1.465203,0.71875,391.5501,309.25638869713094,309.25638869713094,24002.64,0.20972264,0.00031748,1.0
9000,1.465418,0.3333333333333333,322.601,187.6671502278646,187.6671502278646,63617.21,0.15218127,0.00031361502,1.0
9500,1.4655231,0.4393063583815029,267.95978,208.80987232219246,208.80987232219246,44412.254,0.17743191,0.00030845002,1.0
10000,1.4665055,1.2805429864253393,323.3126,506.42658746892755,506.42658746892755,16959.639,0.17826271,0.000303295,1.0
