Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4192859,0.12359550561797752,-167.58516,-48.11628475704708,-48.11628475704708,185314.0,0.29361475,0.00039484,1.0
1000,1.421665,0.31758530183727035,-117.58707,176.46245229620683,176.46245229620683,102161.25,0.30729103,0.0003871,1.0
1500,1.4249245,0.953125,2.5565815,573.0011714696884,573.0011714696884,216882.6,0.32153392,0.00037678998,1.0
2000,1.4274693,0.39275766016713093,102.64502,176.37016445149285,176.37016445149285,145688.66,0.37663895,0.00036642997,1.0
2500,1.4315555,0.879245283018868,145.8413,509.5054442444991,509.5054442444991,117396.75,0.32587528,0.00035611,1.0
3000,1.4356877,1.0,218.08951,613.9446105957031,613.9446105957031,98172.2,0.29321986,0.00034579998,1.0
3500,1.4389174,1.0,279.98206,613.9446105957031,613.9446105957031,63175.336,0.29904988,0.00033548,1.0
4000,1.4399997,1.0,329.9055,613.9446105957031,613.9446105957031,38803.58,0.277211,0.00032516,1.0
4500,1.4401544,0.8901515151515151,359.7552,485.29984445282906,485.29984445282906,26222.72,0.29033253,0.00031484003,1.0
5000,1.4415021,0.21707317073170732,369.98907,31.462924186910737,31.462924186910737,134254.61,0.2207889,0.00030454,1.0
5500,1.4444113,0.8905660377358491,317.52307,455.07747917895045,455.07747917895045,69935.64,0.25909472,0.00029415998,1.0
6000,1.4470147,1.8370786516853932,347.90903,945.1646528513418,945.1646528513418,415744.0,0.15326288,0.00028384003,1.0
6500,1.4506669,0.7741935483870968,427.47754,421.62329929896765,421.62329929896765,248430.84,0.35559893,0.00027351003,1.0
7000,1.4540163,0.5904761904761905,443.59674,339.6011206754454,339.6011206754454,106204.37,0.2338393,0.00026315002,1.0
7500,1.4538206,0.3333333333333333,412.63535,187.70955403645834,187.70955403645834,97541.36,0.20273402,0.00025283004,1.0
8000,1.4597831,0.3333333333333333,366.67783,187.70955403645834,187.70955403645834,73548.484,0.24169253,0.00024508,1.0
8500,1.4673513,0.3333333333333333,332.3252,187.70955403645834,187.70955403645834,59615.695,0.29562178,0.00023735005,1.0
9000,1.4698732,0.3342245989304813,301.39413,187.70955403645834,187.70955403645834,43540.508,0.16060433,0.00022703006,1.0
9500,1.4706507,0.3342245989304813,272.2801,187.70955403645834,187.70955403645834,31062.547,0.27023706,0.00021671005,1.0
10000,1.4727393,0.3342245989304813,249.83917,187.70955403645834,187.70955403645834,21207.16,0.35931718,0.00020639006,1.0
10500,1.4753544,0.3333333333333333,234.55069,187.70955403645834,187.70955403645834,16534.588,0.2837622,0.00019607003,1.0
11000,1.4772027,0.3333333333333333,220.62471,187.70955403645834,187.70955403645834,12399.1,0.18387398,0.00018575005,1.0
11500,1.4808469,0.3333333333333333,206.39325,187.70955403645834,187.70955403645834,9428.89,0.20885947,0.00017543005,1.0
12000,1.4836118,0.3333333333333333,197.19675,187.70955403645834,187.70955403645834,7142.254,0.1935721,0.00016511008,1.0
12500,1.4837934,0.3333333333333333,190.04887,187.70955403645834,187.70955403645834,5881.6924,0.17937043,0.00015479006,1.0
13000,1.484027,0.3333333333333333,183.27696,187.70955403645834,187.70955403645834,4955.04,0.24235916,0.00014447008,1.0
13500,1.4853861,0.3333333333333333,176.98924,187.70955403645834,187.70955403645834,4054.8008,0.2570131,0.00013415006,1.0
14000,1.4853446,0.3333333333333333,172.6689,187.70955403645834,187.70955403645834,3495.7883,0.13541856,0.00012383008,1.0
14500,1.4854944,0.3333333333333333,168.93546,187.70955403645834,187.70955403645834,2992.3872,0.2943364,0.000113510076,1.0
15000,1.485104,0.3333333333333333,166.25461,187.70955403645834,187.70955403645834,2617.0933,0.16444822,0.00010319009,1.0
15500,1.4842846,0.3333333333333333,163.66203,187.70955403645834,187.70955403645834,2311.2344,0.2341773,9.287009e-05,1.0
16000,1.4846603,0.3333333333333333,161.67102,187.70955403645834,187.70955403645834,2108.8474,0.16452658,8.514008e-05,1.0
16500,1.4855978,0.3333333333333333,159.40117,187.70955403645834,187.70955403645834,1973.7089,0.19405141,7.739007e-05,1.0
17000,1.4869701,0.3333333333333333,157.8166,187.70955403645834,187.70955403645834,1827.9556,0.14681834,6.707008e-05,1.0
17500,1.4877598,0.3342245989304813,155.69724,187.70955403645834,187.70955403645834,1682.8259,0.13584182,5.6750083e-05,1.0
18000,1.4881201,0.3333333333333333,154.14911,187.70955403645834,187.70955403645834,1535.9521,0.14263484,4.643009e-05,1.0
18500,1.4880737,0.3333333333333333,153.10089,187.70955403645834,187.70955403645834,1384.6887,0.15578318,3.6110097e-05,1.0
19000,1.4885184,0.3333333333333333,152.16399,187.70955403645834,187.70955403645834,1280.1067,0.15446192,2.5790094e-05,1.0
19500,1.4886372,0.3333333333333333,151.18974,187.70955403645834,187.70955403645834,1217.5767,0.14817597,1.5470088e-05,1.0
20000,1.4886733,0.3333333333333333,150.69717,187.70955403645834,187.70955403645834,1179.6506,0.14141642,5.150095e-06,1.0
