Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4194895,0.0,-5.8776517,-82.85478097307897,-82.85478097307897,6527.276,0.34974787,0.00039484,1.0
1000,1.422313,0.010101010101010102,-61.17123,-57.05052576546717,-57.05052576546717,8743.467,0.2551518,0.0003871,1.0
1500,1.4297673,0.002004008016032064,-35.715656,-25.23868170912137,-25.23868170912137,1655.6409,0.2727356,0.00037677996,1.0
2000,1.4364861,0.5559006211180124,-11.900453,201.0845168214407,201.0845168214407,10557.983,0.2357023,0.00036643998,1.0
2500,1.4400681,1.0,119.02458,613.9446105957031,613.9446105957031,189639.38,0.35512847,0.00035611997,1.0
3000,1.4404078,0.5,237.43216,225.49930781000728,225.49930781000728,109662.305,0.3341072,0.00034581,1.0
3500,1.4425668,0.05970149253731343,213.40086,-21.615068569304835,-21.615068569304835,63097.39,0.25401342,0.00033553003,1.0
4000,1.4466547,0.0,136.58966,-115.69473266601562,-115.69473266601562,104378.234,0.16734779,0.00032522,1.0
4500,1.4522603,0.0635593220338983,67.75889,-63.64335331036027,-63.64335331036027,58681.06,0.18036354,0.0003149,1.0
5000,1.4549354,0.3089005235602094,38.3076,147.59979120224557,147.59979120224557,87630.13,0.30812073,0.00030459004,1.0
5500,1.4575688,0.3105263157894737,42.08364,120.42967775354835,120.42967775354835,34954.766,0.16862571,0.00029430003,1.0
6000,1.4604197,0.388268156424581,42.282513,163.2560072157118,163.2560072157118,45360.223,0.26222628,0.00028399,1.0
6500,1.4650103,0.39664804469273746,48.38161,145.4375538746072,145.4375538746072,24385.197,0.24672648,0.00027367,1.0
7000,1.467371,0.3342245989304813,51.925465,149.71959765625,149.71959765625,35816.344,0.20907491,0.00026335003,1.0
7500,1.4701273,0.34864864864864864,56.81988,183.73105968876348,183.73105968876348,23705.008,0.33198744,0.00025303004,1.0
8000,1.4714942,0.3333333333333333,80.48018,187.70955403645834,187.70955403645834,14753.578,0.19273025,0.00024271006,1.0
8500,1.4743879,0.3333333333333333,96.920395,187.70955403645834,187.70955403645834,11741.0205,0.20780484,0.00023496004,1.0
9000,1.4757589,0.3342245989304813,109.793,187.70955403645834,187.70955403645834,8022.0303,0.2817688,0.00022723006,1.0
9500,1.4782598,0.3333333333333333,117.65833,187.70955403645834,187.70955403645834,5735.2363,0.24036959,0.00021691006,1.0
10000,1.4819809,0.3333333333333333,124.62535,187.70955403645834,187.70955403645834,4233.724,0.23168522,0.00020659005,1.0
10500,1.4863132,0.3333333333333333,128.6766,187.70955403645834,187.70955403645834,3214.5283,0.34200367,0.00019627006,1.0
11000,1.4914409,0.3333333333333333,129.63625,187.70955403645834,187.70955403645834,2798.8477,0.26944196,0.00018595005,1.0
11500,1.4938594,0.3333333333333333,130.39291,187.70955403645834,187.70955403645834,2660.1243,0.24292105,0.00017563006,1.0
12000,1.4982148,0.3333333333333333,131.40454,187.70955403645834,187.70955403645834,2425.749,0.3763349,0.00016531005,1.0
12500,1.4996958,0.3333333333333333,131.78583,187.70955403645834,187.70955403645834,2217.3887,0.16426507,0.00015499006,1.0
13000,1.5017982,0.3333333333333333,132.31068,187.70955403645834,187.70955403645834,2091.3987,0.34066492,0.00014467008,1.0
13500,1.5048062,0.3333333333333333,132.6859,187.70955403645834,187.70955403645834,1942.2273,0.20024693,0.00013435006,1.0
14000,1.5073649,0.3333333333333333,132.94225,187.70955403645834,187.70955403645834,1881.667,0.21049604,0.00012403008,1.0
14500,1.5079311,0.3333333333333333,133.24644,187.70955403645834,187.70955403645834,1802.9587,0.16115326,0.00011371009,1.0
15000,1.5075572,0.3333333333333333,133.58598,187.70955403645834,187.70955403645834,1705.195,0.14163457,0.00010339006,1.0
15500,1.5076841,0.3333333333333333,133.80473,187.70955403645834,187.70955403645834,1624.8738,0.16344619,9.307008e-05,1.0
16000,1.5085255,0.3324468085106383,134.24458,187.70955403645834,187.70955403645834,1538.6886,0.1298634,8.275008e-05,1.0
16500,1.5094157,0.3342245989304813,134.573,187.70955403645834,187.70955403645834,1463.1772,0.1576422,7.5020085e-05,1.0
17000,1.5099342,0.3333333333333333,134.9786,187.70955403645834,187.70955403645834,1433.1396,0.15110514,6.7270084e-05,1.0
17500,1.509846,0.3333333333333333,135.21985,187.70955403645834,187.70955403645834,1375.737,0.12817828,5.695009e-05,1.0
18000,1.5099319,0.3333333333333333,135.80177,187.70955403645834,187.70955403645834,1274.522,0.13794577,4.6630084e-05,1.0
18500,1.5100611,0.3333333333333333,135.97362,187.70955403645834,187.70955403645834,1231.2821,0.12710786,3.6310084e-05,1.0
19000,1.5101873,0.3333333333333333,136.26433,187.70955403645834,187.70955403645834,1181.2678,0.15691888,2.5990092e-05,1.0
19500,1.5101033,0.3333333333333333,136.49988,187.70955403645834,187.70955403645834,1136.154,0.124259606,1.5670097e-05,1.0
20000,1.5100069,0.3333333333333333,136.72235,187.70955403645834,187.70955403645834,1103.4208,0.14671525,5.3501044e-06,1.0
