Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,-3.7480628,0.4880952380952381,-5.1876445,-69.45957887564133,-69.45957887564133,1.0
1000,-3.7768266,0.366120218579235,-17.801878,-83.60233010880934,-83.60233010880934,1.0
1500,-3.75181,0.43478260869565216,-9.139476,-76.58854966356576,-76.58854966356576,1.0
2000,-3.7875698,0.4,-14.876909,-85.16906263563368,-85.16906263563368,1.0
2500,-3.7516425,0.4367816091954023,-10.271271,-82.35706022416038,-82.35706022416038,1.0
3000,-3.776838,0.4061624649859944,-12.231521,-90.99774667118372,-90.99774667118372,1.0
3500,-3.7581985,0.4188034188034188,-11.316768,-70.60219244523482,-70.60219244523482,1.0
4000,-3.7664008,0.4044943820224719,-13.518402,-77.78577551681005,-77.78577551681005,1.0
4500,-3.754574,0.4367816091954023,-10.176764,-81.00799893784797,-81.00799893784797,1.0
5000,-3.7730994,0.3888888888888889,-13.85445,-68.30255703396267,-68.30255703396267,1.0
5500,-3.7627888,0.42045454545454547,-12.078346,-77.55700016021729,-77.55700016021729,1.0
6000,-3.7649078,0.4164305949008499,-12.371847,-81.73378150658972,-81.73378150658972,1.0
6500,-3.7695181,0.358695652173913,-17.80857,-87.15998035928477,-87.15998035928477,1.0
7000,-3.7459512,0.43641618497109824,-9.410141,-79.49093416857102,-79.49093416857102,1.0
7500,-3.7543676,0.4680232558139535,-8.945708,-75.66848683496664,-75.66848683496664,1.0
8000,-3.748735,0.4647058823529412,-8.365143,-71.75368913667293,-71.75368913667293,1.0
8500,-3.7429712,0.45058139534883723,-8.288226,-86.04281324303669,-86.04281324303669,1.0
9000,-3.7640622,0.44412607449856734,-10.528246,-59.82764504969805,-59.82764504969805,1.0
9500,-3.765615,0.43768115942028984,-8.99921,-64.64782414960034,-64.64782414960034,1.0
10000,-3.7693658,0.39275766016713093,-14.8653555,-85.47569806197228,-85.47569806197228,1.0
10500,-3.7904816,0.42857142857142855,-11.481233,-86.8129585484096,-86.8129585484096,1.0
11000,-3.7959738,0.34048257372654156,-19.185396,-97.48413625926818,-97.48413625926818,1.0
11500,-3.7656176,0.3888888888888889,-13.71768,-78.81643397013346,-78.81643397013346,1.0
12000,-3.7511876,0.438953488372093,-7.5541573,-78.02255576313406,-78.02255576313406,1.0
12500,-3.7600775,0.4309859154929577,-10.288199,-85.22956201585673,-85.22956201585673,1.0
13000,-3.7851408,0.34782608695652173,-18.11899,-80.15922269330115,-80.15922269330115,1.0
13500,-3.7674541,0.4577259475218659,-8.143194,-78.43552783487837,-78.43552783487837,1.0
14000,-3.7816627,0.3333333333333333,-19.477285,-88.45372526041666,-88.45372526041666,1.0
14500,-3.773753,0.3774104683195592,-15.917157,-82.23925915762742,-82.23925915762742,1.0
15000,-3.7596493,0.38227146814404434,-11.603739,-89.52580269660739,-89.52580269660739,1.0
15500,-3.7738342,0.3888888888888889,-15.486149,-81.89310167100695,-81.89310167100695,1.0
16000,-3.7523859,0.4780058651026393,-7.39608,-76.45407876407398,-76.45407876407398,1.0
16500,-3.7605054,0.4028169014084507,-12.090821,-80.73389204858054,-80.73389204858054,1.0
17000,-3.752615,0.4269340974212034,-11.938265,-90.90088928222656,-90.90088928222656,1.0
17500,-3.7657719,0.4808259587020649,-6.290659,-86.14345329329812,-86.14345329329812,1.0
18000,-3.765554,0.4084507042253521,-11.549168,-91.8910010109485,-91.8910010109485,1.0
18500,-3.770777,0.3770949720670391,-13.860789,-84.82879706488715,-84.82879706488715,1.0
19000,-3.7620065,0.47230320699708456,-9.650273,-85.67977976659586,-85.67977976659586,1.0
19500,-3.7692149,0.4044943820224719,-12.449195,-81.2996196961135,-81.2996196961135,1.0
20000,-3.7319336,0.4880952380952381,-6.3543644,-69.93370201474144,-69.93370201474144,1.0
