Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4202205,0.7640845070422535,80.58882,414.3791623604171,414.3791623604171,838700.75,0.36086068,0.00039742995,1.0
1000,1.4226996,1.0,85.954315,613.9446105957031,613.9446105957031,204448.6,0.2585047,0.00039355995,1.0
1500,1.4249895,0.6858108108108109,190.46306,405.62599017169026,405.62599017169026,130706.26,0.30749172,0.00038839996,1.0
2000,1.4312848,0.3333333333333333,219.11053,187.9832890625,187.9832890625,98075.8,0.24768063,0.000383235,1.0
2500,1.4365139,0.3333333333333333,175.42056,187.7095743815104,187.7095743815104,57544.86,0.26926133,0.00037807497,1.0
3000,1.4419171,0.3342245989304813,150.02391,187.7095743815104,187.7095743815104,31050.805,0.20669872,0.00037291498,1.0
3500,1.4477497,0.3333333333333333,139.50488,187.7095743815104,187.7095743815104,16087.06,0.22811756,0.00036775498,1.0
4000,1.4519583,0.3333333333333333,131.58888,187.7095743815104,187.7095743815104,8189.158,0.23011142,0.000362595,1.0
4500,1.4596803,0.3333333333333333,130.5785,187.7095743815104,187.7095743815104,4257.3433,0.29173175,0.000357435,1.0
5000,1.4632739,0.3333333333333333,133.15138,187.7095743815104,187.7095743815104,2038.87,0.20840919,0.000352275,1.0
5500,1.465831,0.3333333333333333,136.76456,187.7095743815104,187.7095743815104,862.55066,0.2414346,0.000347115,1.0
6000,1.4697268,0.3333333333333333,138.79169,187.7095743815104,187.7095743815104,380.1162,0.28551552,0.00034195502,1.0
6500,1.4751633,0.3333333333333333,140.98938,187.7095743815104,187.7095743815104,177.00195,0.24773777,0.000336795,1.0
7000,1.4788883,0.3333333333333333,143.02704,187.7095743815104,187.7095743815104,79.58004,0.3060474,0.000331635,1.0
7500,1.4833632,0.3333333333333333,144.47757,187.7095743815104,187.7095743815104,36.345238,0.3091488,0.000326475,1.0
8000,1.4876213,0.3333333333333333,145.42209,187.7095743815104,187.7095743815104,17.691946,0.26529956,0.00032131502,1.0
8500,1.4919523,0.3333333333333333,145.50034,187.7095743815104,187.7095743815104,16.357742,0.1831954,0.00031744,1.0
9000,1.4927944,0.3333333333333333,145.65105,187.7095743815104,187.7095743815104,12.975642,0.18902189,0.000313575,1.0
9500,1.497568,0.3333333333333333,145.77496,187.7095743815104,187.7095743815104,9.770903,0.26805782,0.000308415,1.0
10000,1.5003589,0.3333333333333333,145.97884,187.7095743815104,187.7095743815104,7.0504017,0.37306222,0.00030325502,1.0
10500,1.5040804,0.3342245989304813,146.13455,187.7095743815104,187.7095743815104,4.5597267,0.3102849,0.000298095,1.0
11000,1.5082204,0.3333333333333333,146.24915,187.7095743815104,187.7095743815104,2.7941375,0.4207731,0.000292935,1.0
11500,1.5140985,0.3333333333333333,146.38109,187.7095743815104,187.7095743815104,1.6145538,0.30705187,0.000287775,1.0
12000,1.5183904,0.3333333333333333,146.47426,187.7095743815104,187.7095743815104,0.8990171,0.31369483,0.00028261502,1.0
12500,1.5185771,0.3333333333333333,146.58205,187.7095743815104,187.7095743815104,0.3693197,0.36208764,0.00027745502,1.0
13000,1.5191038,0.3333333333333333,146.64359,187.7095743815104,187.7095743815104,0.13151103,0.22570255,0.00027229503,1.0
13500,1.522163,0.3333333333333333,146.69878,187.7095743815104,187.7095743815104,0.03529963,0.25802475,0.00026713504,1.0
14000,1.5247763,0.3333333333333333,146.73581,187.7095743815104,187.7095743815104,0.0060118,0.21285996,0.00026197504,1.0
14500,1.5264977,0.3333333333333333,146.7316,187.7095743815104,187.7095743815104,0.00073575164,0.2621799,0.00025681505,1.0
15000,1.5282264,0.3333333333333333,146.73079,187.7095743815104,187.7095743815104,8.292703e-05,0.2375744,0.00025165503,1.0
15500,1.52974,0.3333333333333333,146.73012,187.47080338541667,187.47080338541667,9.000174e-06,0.22754896,0.00024649504,1.0
16000,1.5295159,0.39664804469273746,124.83728,176.13075844535615,176.13075844535615,12697.305,0.13784406,0.00024133506,1.0
16500,1.5302417,0.559748427672956,76.395905,210.24660594784729,210.24660594784729,69822.35,0.20543818,0.00023747007,1.0
17000,1.5307801,0.654485049833887,55.142254,196.25334379688795,196.25334379688795,85569.75,0.27916124,0.00023361502,1.0
17500,1.5308594,0.6722408026755853,62.09115,215.54522419294784,215.54522419294784,59305.79,0.31372964,0.00022845503,1.0
18000,1.5318415,0.6666666666666666,67.15373,248.68847249348957,248.68847249348957,77113.58,0.22260481,0.00022330004,1.0
18500,1.5316212,0.6666666666666666,84.51955,254.36234130859376,254.36234130859376,77582.8,0.15381923,0.00021810006,1.0
19000,1.5323952,0.6666666666666666,98.30029,259.45641723632815,259.45641723632815,52157.97,0.15148121,0.00021290005,1.0
19500,1.5319389,0.6666666666666666,107.8773,269.3525244140625,269.3525244140625,42576.344,0.1672512,0.00020770007,1.0
20000,1.5327468,0.6666666666666666,117.798294,284.69522989908853,284.69522989908853,48339.28,0.13102998,0.00020250007,1.0
20500,1.5330417,0.6666666666666666,128.661,284.5844649251302,284.5844649251302,34892.97,0.17241576,0.00019730005,1.0
21000,1.5325422,0.6666666666666666,133.31862,294.0614725748698,294.0614725748698,29865.129,0.14244226,0.00019210007,1.0
21500,1.5315565,0.6688963210702341,138.79324,306.0826298014323,306.0826298014323,35978.79,0.1505534,0.00018690006,1.0
22000,1.531376,0.6688963210702341,146.88103,302.2869287109375,302.2869287109375,25144.66,0.15502921,0.00018170004,1.0
22500,1.5324558,0.6666666666666666,150.96501,293.22149943033855,293.22149943033855,14812.564,0.1489294,0.00017650006,1.0
23000,1.5339677,0.6666666666666666,152.89317,298.127158203125,298.127158203125,16287.495,0.18131416,0.00017260008,1.0
23500,1.5362968,0.6666666666666666,155.62163,295.29842041015627,295.29842041015627,11806.963,0.16199815,0.00016870006,1.0
24000,1.5372814,0.6666666666666666,156.85721,298.4824072265625,298.4824072265625,11882.58,0.16324875,0.00016350005,1.0
24500,1.5392563,0.6666666666666666,159.14214,300.43426228841145,300.43426228841145,11129.705,0.17595983,0.00015830007,1.0
25000,1.5409052,0.6556291390728477,162.93594,299.4472993762288,299.4472993762288,10383.048,0.2169899,0.00015310006,1.0
