Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,0.97179115,0.2345679012345679,218.02766,-15.300989132116337,-15.300989132116337,1.0
1000,1.0285491,0.3123359580052493,221.93376,-3.599478573936803,-3.599478573936803,1.0
1500,0.99287367,0.2562814070351759,218.36942,-0.2962756132959721,-0.2962756132959721,1.0
2000,1.0371393,0.3157894736842105,221.38585,11.359081228155839,11.359081228155839,1.0
2500,1.0330248,0.26329113924050634,220.42174,-5.051626032049006,-5.051626032049006,1.0
3000,1.0175664,0.26666666666666666,219.24847,-11.50873614455123,-11.50873614455123,1.0
3500,1.0178629,0.2581453634085213,219.2998,-10.65474359713607,-10.65474359713607,1.0
4000,0.9861343,0.27040816326530615,219.77605,-4.937889662104405,-4.937889662104405,1.0
4500,1.0259231,0.29198966408268734,220.18459,-1.2470975969496931,-1.2470975969496931,1.0
5000,1.0016942,0.21359223300970873,217.31041,-18.915884369785346,-18.915884369785346,1.0
5500,1.0174582,0.2853470437017995,219.9712,-9.589526335806957,-9.589526335806957,1.0
6000,0.97812814,0.22549019607843138,218.04688,-11.017013549804688,-11.017013549804688,1.0
6500,0.9737362,0.2755102040816326,219.65338,1.032095617177535,1.032095617177535,1.0
7000,1.0115819,0.3567567567567568,222.70581,10.866024027671918,10.866024027671918,1.0
7500,0.98406196,0.3324324324324324,222.55173,4.899671082855553,4.899671082855553,1.0
8000,1.0192195,0.3116883116883117,220.61584,-7.134659926096599,-7.134659926096599,1.0
8500,0.99641514,0.24752475247524752,218.66833,-9.925178471037531,-9.925178471037531,1.0
9000,0.9985201,0.22443890274314215,218.29024,-22.93942974337298,-22.93942974337298,1.0
9500,0.9892446,0.3324538258575198,221.81213,2.4915298019046834,2.4915298019046834,1.0
10000,1.051074,0.26582278481012656,219.40198,-10.939943260482595,-10.939943260482595,1.0
10500,1.048914,0.3072916666666667,221.638,-6.0561933517456055,-6.0561933517456055,1.0
