Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,0.25106484,0.0,-96.17855,-45.87973884781281,-45.87973884781281,1.0
1000,0.25106484,0.0,-96.025734,-45.399983032226565,-45.399983032226565,1.0
1500,0.25106484,0.0,-96.025734,-42.55025598144531,-42.55025598144531,1.0
2000,0.25106484,0.0,-96.025734,-44.54372143554688,-44.54372143554688,1.0
2500,0.25106484,0.0,-96.025734,-42.147608154296876,-42.147608154296876,1.0
3000,0.25106484,0.0,-96.025734,-42.72037219238281,-42.72037219238281,1.0
3500,0.25106484,0.0,-96.025734,-43.24255725097656,-43.24255725097656,1.0
4000,0.25106484,0.0,-96.025734,-40.77845068359375,-40.77845068359375,1.0
4500,0.25106484,0.0,-96.025734,-43.5397587890625,-43.5397587890625,1.0
5000,0.25106484,0.0,-96.025734,-41.14142175292969,-41.14142175292969,1.0
5500,0.25106484,0.0,-96.025734,-42.248863159179685,-42.248863159179685,1.0
6000,0.25106484,0.0,-96.025734,-42.5793798828125,-42.5793798828125,1.0
6500,0.25106484,0.0,-96.025734,-42.22974389648437,-42.22974389648437,1.0
7000,0.25106484,0.0,-96.025734,-40.75685192871094,-40.75685192871094,1.0
7500,0.25106484,0.0,-96.025734,-42.79284814453125,-42.79284814453125,1.0
8000,0.25106484,0.0,-96.025734,-42.58289599609375,-42.58289599609375,1.0
8500,0.25106484,0.0,-96.025734,-44.14177746582031,-44.14177746582031,1.0
9000,0.25106484,0.0,-96.025734,-42.53848828125,-42.53848828125,1.0
9500,0.25106484,0.0,-96.025734,-41.779743408203124,-41.779743408203124,1.0
10000,0.25106484,0.0,-96.025734,-39.58675732421875,-39.58675732421875,1.0
10500,0.25106484,0.0,-96.025734,-44.27527917480469,-44.27527917480469,1.0
11000,0.25106484,0.0,-96.025734,-41.92559997558594,-41.92559997558594,1.0
11500,0.25106487,0.0,-96.025734,-46.42266137695312,-46.42266137695312,1.0
12000,0.25106484,0.0,-96.025734,-41.447703369140626,-41.447703369140626,1.0
12500,0.25106484,0.0,-96.025734,-42.80394519042969,-42.80394519042969,1.0
13000,0.25106484,0.0,-96.025734,-39.32341577148438,-39.32341577148438,1.0
13500,0.25106484,0.0,-96.025734,-47.19199291992187,-47.19199291992187,1.0
14000,0.25106484,0.0,-96.025734,-40.333643310546876,-40.333643310546876,1.0
