Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,-0.532159,0.353099730458221,-150.08516,104.03496652825415,104.03496652825415,1.0
1000,-0.56182665,0.3698630136986301,-150.74867,101.26045858304795,101.26045858304795,1.0
1500,-0.5337692,0.35501355013550134,-149.85265,97.57381846523543,97.57381846523543,1.0
2000,-0.5089517,0.3423180592991914,-149.93382,99.30402160972677,99.30402160972677,1.0
2500,-0.52082115,0.3512064343163539,-150.30052,97.86672433643494,97.86672433643494,1.0
3000,-0.51272345,0.34959349593495936,-149.996,110.70221710205078,110.70221710205078,1.0
3500,-0.51944363,0.3423180592991914,-149.88448,96.09337919501849,96.09337919501849,1.0
4000,-0.5160746,0.34048257372654156,-149.71297,97.64861896913749,97.64861896913749,1.0
4500,-0.507346,0.328042328042328,-149.22952,86.76071207466428,86.76071207466428,1.0
5000,-0.51798606,0.35135135135135137,-150.25105,106.47180060309333,106.47180060309333,1.0
5500,-0.5452118,0.366120218579235,-150.56471,103.88680146431011,103.88680146431011,1.0
6000,-0.554738,0.36813186813186816,-150.69705,97.07265190229025,97.07265190229025,1.0
6500,-0.5351164,0.3567567567567568,-149.96257,97.00502580678884,97.00502580678884,1.0
7000,-0.5130394,0.34594594594594597,-150.1115,111.46478625192154,111.46478625192154,1.0
7500,-0.5277418,0.33866666666666667,-149.3909,90.2637943533015,90.2637943533015,1.0
8000,-0.5521017,0.37362637362637363,-150.83795,113.34591389750386,113.34591389750386,1.0
8500,-0.55544394,0.36065573770491804,-150.42921,106.11556017301388,106.11556017301388,1.0
9000,-0.5096814,0.35135135135135137,-150.41571,108.66540131440034,108.66540131440034,1.0
9500,-0.5321952,0.35501355013550134,-150.39131,102.26673918106368,102.26673918106368,1.0
10000,-0.5371239,0.34408602150537637,-149.73738,95.41925065235425,95.41925065235425,1.0
10500,-0.5386123,0.3477088948787062,-149.63292,98.3052935741661,98.3052935741661,1.0
11000,-0.5507213,0.36239782016348776,-150.36642,102.35476709516561,102.35476709516561,1.0
11500,-0.53207725,0.3477088948787062,-149.9135,105.56198473824966,105.56198473824966,1.0
12000,-0.55264527,0.3698630136986301,-150.60849,101.83089633053297,101.83089633053297,1.0
12500,-0.55120337,0.3567567567567568,-149.83507,96.66080778788745,96.66080778788745,1.0
13000,-0.48255873,0.3209549071618037,-149.46864,100.01571639126571,100.01571639126571,1.0
13500,-0.52466947,0.34946236559139787,-149.89967,104.59804203825176,104.59804203825176,1.0
14000,-0.5078655,0.33689839572192515,-149.65297,94.9415676504533,94.9415676504533,1.0
14500,-0.5155928,0.3351206434316354,-149.88774,97.65203310716599,97.65203310716599,1.0
15000,-0.5366284,0.3567567567567568,-149.97096,100.5137891485116,100.5137891485116,1.0
15500,-0.5252036,0.36239782016348776,-150.71028,112.8049190011921,112.8049190011921,1.0
16000,-0.49408945,0.3209549071618037,-149.27798,102.06335739862351,102.06335739862351,1.0
16500,-0.5293457,0.35135135135135137,-149.58366,99.21447654930321,99.21447654930321,1.0
17000,-0.49583206,0.32625994694960214,-149.461,97.78665355409171,97.78665355409171,1.0
17500,-0.5243704,0.34048257372654156,-149.3912,90.36054284962509,90.36054284962509,1.0
18000,-0.5502853,0.3678474114441417,-150.53429,110.05591278909985,110.05591278909985,1.0
18500,-0.51887214,0.3333333333333333,-149.54723,100.07033610026042,100.07033610026042,1.0
19000,-0.5006079,0.328,-149.30959,89.19199825855011,89.19199825855011,1.0
19500,-0.5403714,0.35135135135135137,-149.94142,103.25393924197635,103.25393924197635,1.0
20000,-0.572255,0.36239782016348776,-150.07642,94.52541557124916,94.52541557124916,1.0
