Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,-0.42081696,0.3333333333333333,-84.14141,163.59821274701287,163.59821274701287,1.0
1000,-0.38203242,0.3567567567567568,-81.34624,176.8212573043699,176.8212573043699,1.0
1500,-0.40757185,0.34408602150537637,-82.897194,171.60981996597783,171.60981996597783,1.0
2000,-0.27586254,0.40229885057471265,-74.72125,201.14069145661713,201.14069145661713,1.0
2500,-0.41795436,0.3689839572192513,-83.543205,182.0918827823915,182.0918827823915,1.0
3000,-0.4207431,0.3333333333333333,-83.96278,164.4006337890625,164.4006337890625,1.0
3500,-0.39088616,0.35135135135135137,-82.313225,175.63793235985008,175.63793235985008,1.0
4000,-0.42098987,0.3333333333333333,-83.92161,163.70049527994792,163.70049527994792,1.0
4500,-0.4209368,0.3333333333333333,-83.91972,166.04873811848958,166.04873811848958,1.0
5000,-0.42096606,0.3333333333333333,-83.915955,161.3509718424479,161.3509718424479,1.0
5500,-0.4208589,0.3333333333333333,-83.94378,162.85884309895835,162.85884309895835,1.0
6000,-0.42092437,0.3333333333333333,-83.93155,163.3885888671875,163.3885888671875,1.0
6500,-0.4025346,0.3477088948787062,-82.437355,172.81451893109838,172.81451893109838,1.0
7000,-0.42108437,0.3333333333333333,-83.898926,164.44614778645834,164.44614778645834,1.0
7500,-0.42070672,0.3333333333333333,-83.93874,166.7300537109375,166.7300537109375,1.0
8000,-0.40313715,0.34594594594594597,-83.06102,168.1044949842592,168.1044949842592,1.0
8500,-0.37101945,0.3678474114441417,-80.42254,179.4675739892845,179.4675739892845,1.0
9000,-0.39730656,0.35135135135135137,-82.2923,173.98702376082136,173.98702376082136,1.0
9500,-0.36969057,0.3469945355191257,-80.783394,173.23838502639646,173.23838502639646,1.0
10000,-0.3810928,0.3814713896457766,-81.36675,188.55459628079106,188.55459628079106,1.0
10500,-0.42093846,0.3333333333333333,-83.92702,166.10186588541666,166.10186588541666,1.0
11000,-0.3802223,0.36239782016348776,-81.18224,182.2452289466962,182.2452289466962,1.0
11500,-0.42094013,0.3333333333333333,-83.922615,161.78837158203126,161.78837158203126,1.0
12000,-0.42074984,0.3333333333333333,-83.945015,165.09634602864583,165.09634602864583,1.0
12500,-0.42090392,0.3333333333333333,-83.93562,162.74567447916667,162.74567447916667,1.0
13000,-0.4076364,0.34408602150537637,-82.860825,170.8233898532006,170.8233898532006,1.0
13500,-0.42089885,0.3333333333333333,-83.94043,166.66510319010416,166.66510319010416,1.0
14000,-0.420817,0.3333333333333333,-83.93276,166.05056217447915,166.05056217447915,1.0
14500,-0.42099324,0.3333333333333333,-83.90053,160.96068684895835,160.96068684895835,1.0
15000,-0.42107162,0.3333333333333333,-83.90222,162.607763671875,162.607763671875,1.0
15500,-0.42076665,0.3333333333333333,-83.960976,164.80923323567708,164.80923323567708,1.0
16000,-0.4210775,0.3333333333333333,-83.90378,160.67280875651042,160.67280875651042,1.0
16500,-0.42075416,0.3333333333333333,-83.95712,159.901169921875,159.901169921875,1.0
17000,-0.42097253,0.3333333333333333,-83.90871,164.66958870442707,164.66958870442707,1.0
17500,-0.42076483,0.3333333333333333,-83.949394,168.68475895182291,168.68475895182291,1.0
18000,-0.37328878,0.3643835616438356,-81.41596,181.43871953578594,181.43871953578594,1.0
18500,-0.4207819,0.3333333333333333,-83.96602,164.34804622395833,164.34804622395833,1.0
19000,-0.42071608,0.3333333333333333,-83.9787,165.90547102864582,165.90547102864582,1.0
19500,-0.42094773,0.3333333333333333,-83.91696,162.8963504231771,162.8963504231771,1.0
20000,-0.42095336,0.3333333333333333,-83.9205,164.05094287109375,164.05094287109375,1.0
