Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4180281,0.3005181347150259,73.818855,126.30173985163371,126.30173985163371,31245.56,0.33208326,0.00039484,1.0
1000,1.4191464,0.7667844522968198,93.81164,378.9645487107995,378.9645487107995,182802.61,0.16041543,0.00038706,1.0
1500,1.4221798,0.9377431906614786,142.18568,569.309099234209,569.309099234209,120957.8,0.23955867,0.00037675002,1.0
2000,1.4236739,1.0,219.52016,613.8991296386719,613.8991296386719,93933.16,0.522784,0.00036643998,1.0
2500,1.4219539,0.6045016077170418,288.84,355.5227445252839,355.5227445252839,70975.68,0.34077874,0.00035611,1.0
3000,1.4217771,1.0120481927710843,316.67343,620.6573290231238,620.6573290231238,66322.8,0.18173786,0.00034579998,1.0
3500,1.4240661,1.0,361.7558,613.9446105957031,613.9446105957031,24306.324,0.24696687,0.00033548,1.0
4000,1.4257131,0.9266409266409267,411.6712,540.7451418136537,540.7451418136537,166664.03,0.34427333,0.00032516,1.0
4500,1.4270105,0.3342245989304813,401.81693,184.6656279296875,184.6656279296875,97939.75,0.14901498,0.00031487,1.0
5000,1.429176,0.4851190476190476,347.8712,237.07069392444825,237.07069392444825,56611.17,0.23754829,0.00030455,1.0
5500,1.4321204,1.2922374429223744,368.518,696.633910572857,696.633910572857,100419.61,0.31190187,0.00029427,1.0
6000,1.4337888,1.0,380.6113,613.9446105957031,613.9446105957031,24512.629,0.15793899,0.00028396,1.0
6500,1.433998,1.0,401.94397,613.9446105957031,613.9446105957031,16591.676,0.17188299,0.00027364,1.0
7000,1.4335406,1.0,417.60944,613.9446105957031,613.9446105957031,11848.008,0.2626704,0.00026332002,1.0
7500,1.4358268,1.0,428.07443,613.9446105957031,613.9446105957031,9535.663,0.21052241,0.00025300003,1.0
8000,1.4385146,1.0,441.19864,607.7049599609375,607.7049599609375,6271.494,0.17649025,0.00024268002,1.0
8500,1.439861,1.0,443.46417,612.4924191894531,612.4924191894531,6001.5703,0.21000914,0.00023494005,1.0
9000,1.4415286,0.7695035460992907,437.95944,400.3761624816462,400.3761624816462,52253.47,0.2885725,0.00022721005,1.0
9500,1.4429843,1.0,430.08994,613.5987026367187,613.5987026367187,10601.631,0.23670718,0.00021684004,1.0
10000,1.4442317,1.0,441.6075,613.9014750976562,613.9014750976562,7332.2886,0.25156444,0.00020644006,1.0
10500,1.4456843,1.0,446.00244,613.9446105957031,613.9446105957031,5944.8633,0.17350526,0.00019604006,1.0
11000,1.4468943,1.0,447.20163,613.9446105957031,613.9446105957031,5581.735,0.17946884,0.00018564005,1.0
11500,1.447365,1.0,449.42526,613.9446105957031,613.9446105957031,5280.33,0.18606484,0.00017524004,1.0
12000,1.447106,1.0,451.62076,613.9446105957031,613.9446105957031,4750.6587,0.15368536,0.00016484008,1.0
12500,1.4476436,1.0,454.05856,613.9446105957031,613.9446105957031,4270.9346,0.18596901,0.00015444006,1.0
13000,1.4483864,1.0,455.861,613.9446105957031,613.9446105957031,3880.9058,0.1633526,0.00014404007,1.0
13500,1.4487946,1.0,456.5668,613.9446105957031,613.9446105957031,3678.0767,0.17112406,0.00013364007,1.0
14000,1.4486853,1.0,457.11227,613.9446105957031,613.9446105957031,3489.6675,0.1665138,0.00012324007,1.0
14500,1.4493026,1.0,458.2675,613.9446105957031,613.9446105957031,3290.1758,0.18711904,0.000112840076,1.0
15000,1.4497786,1.0,460.2905,613.9446105957031,613.9446105957031,3029.5623,0.1481994,0.00010504007,1.0
15500,1.4496944,1.0,460.87177,613.9446105957031,613.9446105957031,2948.7239,0.1638621,9.7240074e-05,1.0
16000,1.4501661,1.0,462.19543,613.9446105957031,613.9446105957031,2824.671,0.14526397,8.6840075e-05,1.0
16500,1.4508017,1.0,463.52902,613.9446105957031,613.9446105957031,2592.665,0.1409897,7.644009e-05,1.0
17000,1.4511317,1.0,464.24188,613.9446105957031,613.9446105957031,2457.083,0.1531434,6.6040084e-05,1.0
17500,1.4514431,1.0,465.4836,613.9446105957031,613.9446105957031,2297.8174,0.13190743,5.5640092e-05,1.0
18000,1.4519305,1.0,466.2301,613.9446105957031,613.9446105957031,2195.409,0.13475314,4.5240085e-05,1.0
18500,1.4523134,1.0,466.62057,613.9446105957031,613.9446105957031,2126.5007,0.1349945,3.484009e-05,1.0
19000,1.452468,1.0,467.04822,613.9446105957031,613.9446105957031,2076.1455,0.16138434,2.4440096e-05,1.0
19500,1.4524165,1.0,467.46777,613.9446105957031,613.9446105957031,2040.749,0.13397148,1.404009e-05,1.0
20000,1.4523867,1.0,468.0378,613.9446105957031,613.9446105957031,1983.7875,0.15361768,3.640107e-06,1.0
