Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
500,1.4200696,0.0,13.235712,-110.74529356564692,-110.74529356564692,21068.521,0.39562488,0.00039742,1.0
1000,1.4248501,0.0,-48.57828,-81.29785852050782,-81.29785852050782,29980.098,0.34050727,0.00039355,1.0
1500,1.4275426,0.0,-54.795753,-25.521932495117188,-25.521932495117188,5536.0747,0.38336045,0.00038839,1.0
2000,1.4295776,0.0,-31.166143,-25.407958984375,-25.407958984375,809.76605,0.38816136,0.00038323,1.0
2500,1.4348449,0.0,-25.255665,-25.407958984375,-25.407958984375,10.510721,0.3342595,0.00037806996,1.0
3000,1.4419949,0.0,-25.47249,-25.407958984375,-25.407958984375,0.05266148,0.37524837,0.00037290997,1.0
3500,1.4444565,0.0,-25.434439,-25.407958984375,-25.407958984375,0.0019012556,0.3084046,0.00036774998,1.0
4000,1.4488593,0.0,-25.406712,-25.407958984375,-25.407958984375,1.1999642e-05,0.3166741,0.00036258998,1.0
4500,1.4530041,0.0,-25.407776,-25.407958984375,-25.407958984375,1.000963e-07,0.31453001,0.00035743,1.0
5000,1.4589001,0.0,-25.407942,-25.407958984375,-25.407958984375,1.0243966e-09,0.34442034,0.00035227,1.0
5500,1.4638166,0.0,-25.40794,-25.407958984375,-25.407958984375,2.997543e-11,0.29598868,0.00034711,1.0
6000,1.4682176,0.0,-25.40794,-25.407958984375,-25.407958984375,1.8561746e-11,0.23217326,0.00034195,1.0
6500,1.4725381,0.1811764705882353,-17.99214,86.81195932064416,86.81195932064416,59856.56,0.16208452,0.00033679,1.0
7000,1.473708,0.3333333333333333,56.54126,187.63661393229168,187.63661393229168,43738.527,0.17694892,0.000331635,1.0
7500,1.4737685,0.3333333333333333,115.23923,187.70955403645834,187.70955403645834,6981.0303,0.2231225,0.000326475,1.0
8000,1.4743501,0.3333333333333333,129.81757,187.70955403645834,187.70955403645834,2665.0288,0.28367388,0.00032131502,1.0
8500,1.478034,0.33423180592991913,130.93117,187.70955403645834,187.70955403645834,2315.453,0.3702605,0.00031745,1.0
9000,1.480377,0.3333333333333333,132.85538,187.70955403645834,187.70955403645834,1958.4451,0.21752593,0.00031357503,1.0
9500,1.4836556,0.3333333333333333,138.05952,187.70955403645834,187.70955403645834,1310.6753,0.23424028,0.00030841504,1.0
10000,1.4852217,0.3333333333333333,139.23146,187.70955403645834,187.70955403645834,807.5778,0.308275,0.00030325504,1.0
10500,1.4880652,0.3333333333333333,139.3497,187.70955403645834,187.70955403645834,646.3724,0.29475552,0.00029809505,1.0
11000,1.491676,0.3333333333333333,140.59334,187.70955403645834,187.70955403645834,497.37604,0.22790435,0.00029293503,1.0
11500,1.4964749,0.3333333333333333,141.63332,187.70955403645834,187.70955403645834,319.97662,0.33199042,0.000287775,1.0
12000,1.500936,0.3342245989304813,141.75224,187.70955403645834,187.70955403645834,238.77457,0.28091168,0.00028261502,1.0
12500,1.5061646,0.3342245989304813,142.26196,187.70955403645834,187.70955403645834,182.58444,0.5617619,0.00027745502,1.0
13000,1.5104251,0.3333333333333333,142.67308,187.70955403645834,187.70955403645834,149.1958,0.32163256,0.00027229503,1.0
13500,1.5126477,0.3333333333333333,143.03868,187.70955403645834,187.70955403645834,122.89249,0.21204802,0.00026713504,1.0
14000,1.5150381,0.3342245989304813,143.52217,187.70955403645834,187.70955403645834,90.61421,0.255553,0.00026197502,1.0
14500,1.5172005,0.3333333333333333,143.75647,187.70955403645834,187.70955403645834,77.875015,0.21845078,0.00025681502,1.0
15000,1.5196248,0.3333333333333333,144.09279,187.70955403645834,187.70955403645834,60.43785,0.15973315,0.00025165503,1.0
15500,1.5210586,0.3333333333333333,144.41458,187.70955403645834,187.70955403645834,46.358932,0.25620586,0.00024649504,1.0
16000,1.5209714,0.3333333333333333,144.64708,187.70955403645834,187.70955403645834,36.96131,0.2866273,0.00024133506,1.0
16500,1.5222652,0.33423180592991913,144.87643,187.70955403645834,187.70955403645834,30.77011,0.13643783,0.00023746006,1.0
17000,1.5252341,0.3333333333333333,145.14668,187.70955403645834,187.70955403645834,24.178919,0.20460466,0.00023359503,1.0
17500,1.5273325,0.3333333333333333,145.30396,187.70955403645834,187.70955403645834,19.511543,0.17549631,0.00022843503,1.0
18000,1.5296239,0.3342245989304813,145.59882,187.70955403645834,187.70955403645834,12.682493,0.15956274,0.00022327504,1.0
18500,1.5314513,0.3342245989304813,145.84938,187.70955403645834,187.70955403645834,7.443405,0.16424549,0.00021811505,1.0
19000,1.533669,0.3333333333333333,145.97969,187.70955403645834,187.70955403645834,5.0373993,0.3531338,0.00021295506,1.0
19500,1.5355422,0.3333333333333333,146.11798,187.70955403645834,187.70955403645834,3.3618271,0.14386997,0.00020779506,1.0
20000,1.5361221,0.3333333333333333,146.27724,187.70955403645834,187.70955403645834,1.8411865,0.38695067,0.00020263504,1.0
20500,1.5375471,0.3333333333333333,146.39534,187.70955403645834,187.70955403645834,0.95317614,0.17492089,0.00019747505,1.0
21000,1.5379524,0.3333333333333333,146.50046,187.70955403645834,187.70955403645834,0.42474216,0.12157179,0.00019231506,1.0
21500,1.5389452,0.3333333333333333,146.5913,187.70955403645834,187.70955403645834,0.14096193,0.14743096,0.00018715505,1.0
22000,1.5400988,0.3333333333333333,146.65187,187.70955403645834,187.70955403645834,0.03716515,0.15513977,0.00018199506,1.0
22500,1.5411017,0.3342245989304813,146.70631,187.70955403645834,187.70955403645834,0.0038651256,0.17550686,0.00017683506,1.0
23000,1.5422734,0.3333333333333333,146.72835,187.70955403645834,187.70955403645834,0.00010774611,0.18350314,0.00017167506,1.0
23500,1.543616,0.3387096774193548,144.74205,184.64610278254858,184.64610278254858,8.063188e-07,0.40408808,0.00016651506,1.0
24000,1.5408871,0.47352941176470587,96.83028,73.50542042600019,73.50542042600019,31230.52,0.19638905,0.00016135506,1.0
24500,1.5412569,0.5,56.157444,96.84230671956867,96.84230671956867,4711.517,0.18718004,0.00015748007,1.0
25000,1.541905,0.5029940119760479,55.195904,91.5191699730422,91.5191699730422,4149.8975,0.16372155,0.00015361008,1.0
25500,1.5421286,0.49700598802395207,54.59626,88.7718639660168,88.7718639660168,4389.7305,0.20451485,0.00014845007,1.0
26000,1.5426908,0.5,52.10121,90.77501689922344,90.77501689922344,4903.189,0.15124278,0.00014327007,1.0
26500,1.5433186,0.49700598802395207,52.132393,97.32451405782186,97.32451405782186,2115.416,0.13445756,0.00013811007,1.0
27000,1.5439773,0.5029940119760479,51.546345,95.86341318827189,95.86341318827189,1769.9209,0.17015556,0.00013295008,1.0
27500,1.5441604,0.5,52.713886,96.59396362304688,96.59396362304688,1677.0402,0.19039655,0.00012779009,1.0
28000,1.5441725,0.49700598802395207,53.604702,97.32451405782186,97.32451405782186,1561.593,0.13703077,0.00012263007,1.0
28500,1.5442351,0.5029940119760479,52.491066,95.86341318827189,95.86341318827189,1473.968,0.16200903,0.00011747007,1.0
29000,1.544542,0.5,52.207325,96.59396362304688,96.59396362304688,1244.5813,0.16111028,0.000112310074,1.0
29500,1.5450145,0.4984984984984985,52.164227,97.32451405782186,97.32451405782186,1079.162,0.21497244,0.000107150074,1.0
30000,1.5455387,0.5029940119760479,50.86305,95.86341318827189,95.86341318827189,955.48267,0.16798177,0.000101990074,1.0
30500,1.5459346,0.5,50.939228,96.59396362304688,96.59396362304688,860.1538,0.1975309,9.6830074e-05,1.0
31000,1.5459697,0.49700598802395207,50.909946,97.31583262917525,97.31583262917525,737.66113,0.1865948,9.167008e-05,1.0
31500,1.5461257,0.5029940119760479,49.68109,95.80452394771005,95.80452394771005,656.8049,0.15597713,8.651008e-05,1.0
32000,1.5461589,0.5,49.81824,96.59396362304688,96.59396362304688,585.744,0.15797172,8.135009e-05,1.0
32500,1.5464176,0.49848024316109424,50.018215,97.32451405782186,97.32451405782186,542.72394,0.14798674,7.748009e-05,1.0
33000,1.5466133,0.5029940119760479,48.88238,95.86341318827189,95.86341318827189,512.34094,0.13089943,7.361009e-05,1.0
33500,1.5470319,0.5,49.127373,96.57465978415615,96.57465978415615,450.5227,0.14039426,6.84501e-05,1.0
34000,1.5471627,0.49700598802395207,49.28073,97.15399590223849,97.15399590223849,432.59738,0.14391236,6.3290085e-05,1.0
34500,1.5469615,0.5029940119760479,48.266148,95.86341318827189,95.86341318827189,380.7391,0.17101353,5.8130074e-05,1.0
35000,1.5468764,0.5015105740181269,48.557575,96.59396362304688,96.59396362304688,358.4119,0.13828084,5.2970077e-05,1.0
35500,1.5469363,0.49700598802395207,48.877045,97.32451405782186,97.32451405782186,327.12036,0.15696909,4.781008e-05,1.0
36000,1.5470157,0.5029940119760479,47.746773,95.86341318827189,95.86341318827189,305.9038,0.14981155,4.265008e-05,1.0
36500,1.5470675,0.5,48.012302,96.39537563094173,96.39537563094173,292.10413,0.15817499,3.7490085e-05,1.0
37000,1.5470896,0.49700598802395207,48.32569,97.32451405782186,97.32451405782186,258.43454,0.14847179,3.2330092e-05,1.0
37500,1.5470465,0.5,47.360218,95.86341318827189,95.86341318827189,242.45813,0.13613245,2.7170096e-05,1.0
38000,1.5470061,0.5015105740181269,47.66057,96.59396362304688,96.59396362304688,227.4262,0.14927006,2.20101e-05,1.0
38500,1.547026,0.49700598802395207,47.960354,97.32451405782186,97.32451405782186,212.90863,0.16125219,1.6850103e-05,1.0
39000,1.5469453,0.5029940119760479,46.976357,95.86341318827189,95.86341318827189,199.252,0.12613715,1.1690105e-05,1.0
39500,1.5469587,0.5,47.32731,96.59396362304688,96.59396362304688,189.42749,0.12404903,6.530109e-06,1.0
40000,1.546977,0.4984984984984985,47.64046,97.32451405782186,97.32451405782186,184.86046,0.12465214,1.3700885e-06,1.0
