Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.8938794,0.9015151515151515,-6.2347574,367.7522324423754,367.7522324423754,1.0
1000,1.8993896,0.7667844522968198,-6.4170647,332.27204965112907,332.27204965112907,1.0
1500,1.8870387,0.8518518518518519,-4.0209656,358.08103332519534,358.08103332519534,1.0
2000,1.8718816,1.008130081300813,-7.663608,423.1036516567956,423.1036516567956,1.0
2500,1.8898959,0.8534798534798534,-5.331684,355.9943783703972,355.9943783703972,1.0
3000,1.8895141,0.9529411764705882,-6.970593,385.76522386074066,385.76522386074066,1.0
3500,1.8611778,0.9453125,-8.068821,389.3560223412421,389.3560223412421,1.0
4000,1.8501061,1.0406504065040652,-4.784014,426.9737172652264,426.9737172652264,1.0
4500,1.8505847,0.996,-6.9070897,403.4935489973699,403.4935489973699,1.0
5000,1.8831239,0.9568627450980393,-4.969686,388.9007786171109,388.9007786171109,1.0
5500,1.8724114,0.9230769230769231,-7.504354,394.4492694561298,394.4492694561298,1.0
6000,1.7996143,0.9494163424124513,-6.4963045,382.78886467009664,382.78886467009664,1.0
6500,1.8659636,0.9341085271317829,-9.945244,366.33593205888144,366.33593205888144,1.0
7000,1.8595998,1.0284552845528456,-8.259857,413.0112372641621,413.0112372641621,1.0
7500,1.8529261,0.8754716981132076,-0.8051262,362.7888052969268,362.7888052969268,1.0
8000,1.8712841,0.8859315589353612,-6.390728,362.11461964733195,362.11461964733195,1.0
8500,1.8684819,0.9307692307692308,-6.489303,392.07306073163005,392.07306073163005,1.0
9000,1.8712862,0.8587360594795539,-4.28345,389.8946009072229,389.8946009072229,1.0
9500,1.8458428,0.879245283018868,-8.834453,336.00003327104383,336.00003327104383,1.0
10000,1.8997064,0.8518518518518519,-6.649256,346.0537156846788,346.0537156846788,1.0
10500,1.851423,0.9192307692307692,-3.870684,395.9521710041382,395.9521710041382,1.0
11000,1.8885249,1.0283400809716599,-5.5458727,407.84854324464874,407.84854324464874,1.0
11500,1.8887135,0.8555555555555555,-7.2853427,355.1881687870732,355.1881687870732,1.0
12000,1.8844016,0.8518518518518519,-6.5890465,348.7157906991464,348.7157906991464,1.0
12500,1.8637307,0.992,-5.0223317,421.92549674349476,421.92549674349476,1.0
13000,1.8276539,1.0202429149797572,-7.0472507,405.32977369053646,405.32977369053646,1.0
13500,1.8289785,1.0242914979757085,-4.920018,423.1574157220632,423.1574157220632,1.0
14000,1.8377671,0.9841269841269841,-4.7091107,419.76209610227556,419.76209610227556,1.0
14500,1.8444477,1.0160642570281124,-5.135287,427.55773827337447,427.55773827337447,1.0
15000,1.8230926,0.8830188679245283,-9.537313,348.9224385426457,348.9224385426457,1.0
15500,1.8540807,0.875,-6.6902423,359.45158622309845,359.45158622309845,1.0
16000,1.8459102,0.9880952380952381,-5.870483,396.55084288827044,396.55084288827044,1.0
16500,1.8726492,0.8302583025830258,-5.7652235,351.98660267059216,351.98660267059216,1.0
17000,1.8779216,0.9529411764705882,-8.873198,374.6005311012268,374.6005311012268,1.0
17500,1.8280777,1.028225806451613,-5.6824694,398.20862759225736,398.20862759225736,1.0
18000,1.8406842,0.8513011152416357,-7.0939126,346.2675613968461,346.2675613968461,1.0
18500,1.8815349,0.926923076923077,-6.036448,373.0840599646935,373.0840599646935,1.0
19000,1.8709358,0.9195402298850575,-2.277084,393.05982572115386,393.05982572115386,1.0
19500,1.8660959,0.9607843137254902,-8.863687,365.45433146158854,365.45433146158854,1.0
20000,1.8901542,1.0,-4.694338,416.80018786621093,416.80018786621093,1.0
