Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,-3.164576,0.4044943820224719,106.00658,157.53925832829006,157.53925832829006,1.0
1000,-3.1700673,0.4164305949008499,104.9107,159.71393773238316,159.71393773238316,1.0
1500,-3.162793,0.4492753623188406,102.98274,165.184326171875,165.184326171875,1.0
2000,-3.1627274,0.4005602240896359,105.83544,157.27227150625876,157.27227150625876,1.0
2500,-3.158485,0.4326647564469914,103.944214,163.1182209003962,163.1182209003962,1.0
3000,-3.170184,0.42045454545454547,104.69791,159.60156284679067,159.60156284679067,1.0
3500,-3.166734,0.4409221902017291,103.70974,164.45007763953305,164.45007763953305,1.0
4000,-3.1558106,0.4005602240896359,105.75814,159.10332892922793,159.10332892922793,1.0
4500,-3.1715658,0.39664804469273746,106.311714,156.72218518816558,156.72218518816558,1.0
5000,-3.1603289,0.42045454545454547,104.00269,162.35319501703435,162.35319501703435,1.0
5500,-3.169344,0.4492753623188406,103.64658,163.97794118687727,163.97794118687727,1.0
6000,-3.1584823,0.47928994082840237,101.15796,173.02112231734236,173.02112231734236,1.0
6500,-3.163722,0.4649122807017544,101.543175,169.41851217704908,169.41851217704908,1.0
7000,-3.157199,0.4463768115942029,103.64316,164.6801846269248,164.6801846269248,1.0
7500,-3.1636631,0.4409221902017291,103.45796,164.52127031221858,164.52127031221858,1.0
8000,-3.1596873,0.40782122905027934,105.166725,159.206545875186,159.206545875186,1.0
8500,-3.1673558,0.446064139941691,103.42085,165.44020151537518,165.44020151537518,1.0
9000,-3.1710231,0.4662756598240469,101.99018,168.45401224712472,168.45401224712472,1.0
9500,-3.1607265,0.4124293785310734,105.14829,159.87980057021318,159.87980057021318,1.0
10000,-3.164253,0.4124293785310734,105.142876,159.1885317355226,159.1885317355226,1.0
10500,-3.1665916,0.42045454545454547,104.689445,160.0332655473189,160.0332655473189,1.0
11000,-3.1596932,0.4164305949008499,105.12282,159.26341908916874,159.26341908916874,1.0
11500,-3.1616328,0.4367816091954023,103.70162,164.34049321317124,164.34049321317124,1.0
12000,-3.1589038,0.4124293785310734,105.11786,160.3703411554886,160.3703411554886,1.0
12500,-3.1597168,0.4492753623188406,102.96393,166.5091264365376,166.5091264365376,1.0
13000,-3.167778,0.4367816091954023,103.72825,163.64144651917206,163.64144651917206,1.0
13500,-3.1628046,0.4823529411764706,100.7506,173.71245887778852,173.71245887778852,1.0
14000,-3.1668565,0.41714285714285715,105.11471,158.8675853587963,158.8675853587963,1.0
14500,-3.1566422,0.4367816091954023,103.68485,164.72279112366425,164.72279112366425,1.0
15000,-3.1588128,0.4619883040935672,102.42918,169.64751733255665,169.64751733255665,1.0
15500,-3.1642177,0.47928994082840237,101.37784,173.7286230685443,173.7286230685443,1.0
16000,-3.164773,0.4749262536873156,101.961845,170.99830703960407,170.99830703960407,1.0
16500,-3.1643927,0.4164305949008499,104.89713,160.2092504744489,160.2092504744489,1.0
17000,-3.1593807,0.46511627906976744,101.78537,170.40695875518176,170.40695875518176,1.0
17500,-3.1558108,0.4502923976608187,103.10417,167.54644668623587,167.54644668623587,1.0
18000,-3.1728754,0.4409221902017291,103.49424,163.4492579743223,163.4492579743223,1.0
18500,-3.1607406,0.42735042735042733,103.71833,164.30801017739495,164.30801017739495,1.0
19000,-3.1699386,0.39385474860335196,106.95726,154.71952998837946,154.71952998837946,1.0
19500,-3.167626,0.4367816091954023,103.7309,163.12583221786323,163.12583221786323,1.0
20000,-3.1654477,0.42045454545454547,104.66126,160.16913379322398,160.16913379322398,1.0
