Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Is Training
15500,1.4771196,0.3333333333333333,39.83419,-1697.736,67.32718912760417,67.32718912760417,0.3898484705289252,29807.203,0.12683724,9.2750066e-05,5.5802393,0.14747345,0.7100054,1.0
16000,1.4768103,0.3342541436464088,37.401634,-1740.3503,67.32718912760417,67.32718912760417,0.24702389176687078,31229.234,0.14639454,8.502007e-05,5.493056,0.16103373,0.6924235,1.0
16500,1.4768162,0.3342245989304813,35.685593,-1773.2733,67.32718912760417,67.32718912760417,0.4581819543838548,32115.922,0.16130263,7.727007e-05,5.3455205,0.14946009,0.7262769,1.0
17000,1.4774165,0.3342245989304813,33.94924,-1804.1621,67.32718912760417,67.32718912760417,0.23781256413460253,33404.617,0.13944784,6.695009e-05,5.498263,0.15868196,0.7493267,1.0
17500,1.4779115,0.3342245989304813,32.330723,-1830.365,67.32718912760417,67.32718912760417,0.174085181991264,34398.027,0.1400733,5.6630088e-05,5.4421015,0.14296433,0.71972907,1.0
18000,1.4782889,0.3342245989304813,30.886974,-1850.443,67.32718912760417,67.32718912760417,0.25493658240636663,35434.31,0.16443406,4.6310095e-05,5.338523,0.14541835,0.72971356,1.0
18500,1.4786181,0.3333333333333333,29.312584,-1867.2661,67.32718912760417,67.32718912760417,0.2156918991406806,36105.555,0.15235578,3.5990088e-05,5.1486316,0.1496117,0.7261206,1.0
19000,1.4788519,0.3342245989304813,28.243946,-1880.2013,67.32718912760417,67.32718912760417,0.3716471529007005,36677.72,0.13558903,2.5670084e-05,5.1209564,0.14160332,0.73630095,1.0
19500,1.478802,0.3342245989304813,27.424229,-1887.0736,67.32718912760417,67.32718912760417,0.20830128486951666,37002.473,0.11179051,1.5350091e-05,5.3704405,0.14938203,0.7288071,1.0
20000,1.4787959,0.3342245989304813,27.054443,-1891.1798,67.32718912760417,67.32718912760417,0.0977711909214703,37287.844,0.13175783,5.030099e-06,5.029873,0.15982734,0.709501,1.0
