Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Is Training
500,1.4180387,0.4764705882352941,50.628883,-31.630505,82.0015005980723,82.0015005980723,6.132275048092272,17133.316,0.2559195,0.00039479998,21.802307,0.6365629,0.65286946,1.0
1000,1.4206903,1.2331838565022422,76.4689,-25.88799,661.966760796441,661.966760796441,27.168827647633023,166808.92,0.3164221,0.00038707,20.275284,0.7646011,0.8316462,1.0
1500,1.4254662,0.36712328767123287,134.09688,-54.82124,209.5188474890304,209.5188474890304,11.910192652638644,63271.73,0.29425168,0.00037676998,18.888138,0.7213032,0.7963654,1.0
2000,1.4287694,0.3342245989304813,137.3805,-43.139046,187.7095743815104,187.7095743815104,11.749787432253362,16662.625,0.2785947,0.00036647,18.292395,0.7006498,0.803153,1.0
2500,1.4317214,0.3342245989304813,137.30302,-26.719126,187.7095743815104,187.7095743815104,11.0738757630984,8907.976,0.23656031,0.00035614998,17.427967,0.69826543,0.8056028,1.0
3000,1.436004,0.3342245989304813,133.68912,-5.0497417,187.7095743815104,187.7095743815104,1.935679096778238,5060.0894,0.23293197,0.00034583,11.650375,0.38840225,0.7941887,1.0
3500,1.442873,0.3342245989304813,134.393,10.085798,187.7095743815104,187.7095743815104,0.21995737727483589,2961.3667,0.2179411,0.00033551,8.852828,0.20151374,0.7744619,1.0
4000,1.4463106,0.3342245989304813,136.20958,29.93477,187.7095743815104,187.7095743815104,0.3011033051411358,1657.6945,0.2840227,0.00032519002,8.206941,0.21734244,0.7753376,1.0
4500,1.4456553,0.07792207792207792,205.84389,22.591629,23.23438857801532,23.23438857801532,0.3998452717233206,33856.562,0.37637058,0.00031489,8.396638,0.2181868,0.76256585,1.0
5000,1.4475605,0.0,165.81134,-1.2803028,-25.407958984375,-25.407958984375,0.22523594075441716,42622.785,0.42860907,0.00030458003,7.6396537,0.22435588,0.7294047,1.0
5500,1.4515946,0.0,107.45081,-21.536076,-25.407958984375,-25.407958984375,0.5822569956779516,21141.164,0.4220087,0.00029426,7.712858,0.21183452,0.7199576,1.0
6000,1.4541955,0.0,70.95505,-28.218403,-25.407958984375,-25.407958984375,0.15285954284668324,10988.776,0.3608102,0.00028394003,7.165279,0.21841,0.7184331,1.0
6500,1.4573084,0.0,46.272278,-29.336355,-25.407958984375,-25.407958984375,0.4033944262266194,6540.1807,0.36214563,0.00027362004,6.6550355,0.21934794,0.7094567,1.0
