Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Is Training
7000,1.4606899,0.0,25.38564,-34.43863,-25.407958984375,-25.407958984375,0.3570932186842,3588.636,0.41767463,0.00026330003,6.6970778,0.21969739,0.7189654,1.0
7500,1.4630096,0.0,12.136543,-30.780214,-25.821493408203125,-25.821493408203125,0.1339885070920026,2271.2449,0.30370733,0.00025298004,6.1381598,0.22049917,0.72988176,1.0
8000,1.4665682,0.0,-2.3884876,-28.686762,-58.75165185546875,-58.75165185546875,0.17760630396008847,5635.6055,0.32564643,0.00024266003,6.3580456,0.21303943,0.7304318,1.0
8500,1.4701116,0.0,-19.298744,-23.234766,-115.23837927246093,-115.23837927246093,0.36365811514854784,11622.997,0.3978149,0.00023492005,6.190618,0.20393272,0.6941743,1.0
9000,1.4730786,0.0,-42.738384,-22.697994,-113.47460241699218,-113.47460241699218,0.130728306561712,8492.251,0.3742484,0.00022718003,5.8986783,0.2045575,0.71537805,1.0
9500,1.4767143,0.0,-62.97345,-34.42922,-115.15410180664063,-115.15410180664063,0.41825387214124554,5264.343,0.28043526,0.00021686003,6.0808125,0.21799195,0.7203764,1.0
10000,1.4779537,0.0,-78.197556,-49.39054,-115.69473266601562,-115.69473266601562,0.341430233597759,4258.1514,0.39926955,0.00020654005,5.4621115,0.20445812,0.7085767,1.0
10500,1.4782797,0.0,-88.48883,-61.407314,-115.69473266601562,-115.69473266601562,0.16970645886659977,3919.7556,0.1864084,0.00019622005,5.61103,0.20663804,0.7022052,1.0
11000,1.4791076,0.0,-95.711586,-73.06873,-115.69473266601562,-115.69473266601562,0.341147766411308,4112.6895,0.3031566,0.00018590006,5.27964,0.21114233,0.68815684,1.0
11500,1.4806359,0.0,-101.274,-87.64009,-115.69473266601562,-115.69473266601562,0.09769947120547649,4560.6553,0.27509353,0.00017558008,5.8504667,0.22067714,0.7225169,1.0
12000,1.4823554,0.0,-104.960434,-96.686066,-115.69473266601562,-115.69473266601562,0.2097303016366958,5106.3545,0.3667034,0.00016526006,5.499527,0.21215416,0.6895441,1.0
12500,1.484519,0.0,-108.21803,-114.500305,-115.69473266601562,-115.69473266601562,0.8912338351868412,5929.3887,0.14143361,0.00015494008,5.8908587,0.19625393,0.70260996,1.0
13000,1.4850298,0.0,-110.36029,-125.51245,-115.69473266601562,-115.69473266601562,0.21846780365705845,6734.381,0.32577655,0.00014462005,5.0843964,0.18451379,0.69144976,1.0
13500,1.486132,0.0,-112.06399,-139.82788,-115.69473266601562,-115.69473266601562,0.20211038378940724,7619.5938,0.18985659,0.00013430006,4.7833657,0.20982927,0.70628047,1.0
14000,1.4867048,0.0,-113.46991,-149.95631,-115.69473266601562,-115.69473266601562,0.44082468303176814,8496.426,0.2023385,0.00012398008,5.6380105,0.21457756,0.7013904,1.0
14500,1.4875277,0.0,-114.69718,-157.84735,-115.69473266601562,-115.69473266601562,0.1458038137108123,9238.797,0.2177856,0.000113660084,5.8669405,0.21587631,0.6998781,1.0
15000,1.4883614,0.0,-115.56283,-173.0899,-115.69473266601562,-115.69473266601562,0.18927757215500232,10109.971,0.18050328,0.000103340084,4.7455144,0.20475471,0.7034806,1.0
15500,1.4885874,0.0,-115.74545,-186.86263,-115.69473266601562,-115.69473266601562,0.311306605815891,10946.074,0.29601458,9.302009e-05,4.2279625,0.18923132,0.68594944,1.0
16000,1.4892277,0.0,-115.74981,-195.37607,-115.69473266601562,-115.69473266601562,0.1035382378995454,11664.898,0.21635921,8.270008e-05,4.26048,0.18506539,0.6931863,1.0
16500,1.4899259,0.0,-115.75999,-207.83556,-115.69473266601562,-115.69473266601562,0.19918820661306735,12289.214,0.16582462,7.496008e-05,4.080986,0.19265004,0.66863555,1.0
17000,1.4902118,0.0,-115.75538,-211.50581,-115.69473266601562,-115.69473266601562,0.1566473815441882,12709.492,0.16384721,6.7220084e-05,3.9876666,0.22467947,0.7023809,1.0
17500,1.4901468,0.0,-115.77841,-218.13576,-115.69473266601562,-115.69473266601562,0.27950719010830277,13202.814,0.14098716,5.6900084e-05,3.8390784,0.19582547,0.71331525,1.0
18000,1.4902482,0.0,-115.77449,-223.84503,-115.69473266601562,-115.69473266601562,0.1288235312700307,13715.404,0.16187873,4.658009e-05,3.9856386,0.19478619,0.69955313,1.0
18500,1.4903831,0.0,-115.78586,-226.87851,-115.69473266601562,-115.69473266601562,0.38208198579230196,14086.918,0.12973215,3.62601e-05,3.4936624,0.20386884,0.7068831,1.0
19000,1.4905913,0.0,-115.80412,-231.54172,-115.69473266601562,-115.69473266601562,0.13072623390704394,14521.781,0.14694288,2.5940093e-05,3.7646635,0.22441253,0.7218281,1.0
19500,1.4907042,0.0,-115.79905,-233.74997,-115.69473266601562,-115.69473266601562,0.31804816789182994,14694.106,0.14447942,1.562009e-05,3.7966442,0.21552947,0.68149304,1.0
20000,1.4907019,0.0,-115.80533,-234.91707,-115.69473266601562,-115.69473266601562,0.4484025141291976,14817.106,0.13484693,5.300096e-06,4.351,0.22398488,0.7187598,1.0
